TIMESTAMP,SYSCALL_NUMBER,PID
2025-03-31 14:45:39.170255,257,8799
2025-03-31 14:45:39.170326,5,8799
2025-03-31 14:45:39.170341,9,8799
2025-03-31 14:45:39.170363,3,8799
2025-03-31 14:45:39.170410,16,8799
2025-03-31 14:45:39.170436,257,8799
2025-03-31 14:45:39.170448,5,8799
2025-03-31 14:45:39.170462,217,8799
2025-03-31 14:45:39.170500,217,8799
2025-03-31 14:45:39.170512,3,8799
2025-03-31 14:45:39.170544,5,8799
2025-03-31 14:45:39.170565,1,8799
2025-03-31 14:45:39.170641,3,8799
2025-03-31 14:45:39.170660,3,8799
2025-03-31 14:45:39.170695,231,8799
2025-03-31 14:45:39.171260,14,8745
2025-03-31 14:45:39.171340,16,8745
2025-03-31 14:45:39.171367,14,8745
2025-03-31 14:45:39.171389,16,8745
2025-03-31 14:45:39.171412,16,8745
2025-03-31 14:45:39.171453,14,8745
2025-03-31 14:45:39.171483,61,8745
2025-03-31 14:45:39.171517,13,8745
2025-03-31 14:45:39.171579,14,8745
2025-03-31 14:45:39.171603,16,8745
2025-03-31 14:45:39.171623,14,8745
2025-03-31 14:45:39.171709,13,8745
2025-03-31 14:45:39.171725,72,8745
2025-03-31 14:45:39.171758,16,8745
2025-03-31 14:45:39.171771,16,8745
2025-03-31 14:45:39.171781,14,8745
2025-03-31 14:45:39.171792,13,8745
2025-03-31 14:45:39.171802,13,8745
2025-03-31 14:45:39.171812,13,8745
2025-03-31 14:45:39.171823,13,8745
2025-03-31 14:45:39.171833,13,8745
2025-03-31 14:45:39.171843,13,8745
2025-03-31 14:45:39.171853,13,8745
2025-03-31 14:45:39.171863,13,8745
2025-03-31 14:45:39.171873,13,8745
2025-03-31 14:45:39.171883,13,8745
2025-03-31 14:45:39.171893,13,8745
2025-03-31 14:45:39.171903,13,8745
2025-03-31 14:45:39.171913,13,8745
2025-03-31 14:45:39.171923,14,8745
2025-03-31 14:45:39.171935,13,8745
2025-03-31 14:45:39.171909,7,8546
2025-03-31 14:45:39.171958,1,8745
2025-03-31 14:45:39.171978,270,8745
2025-03-31 14:45:39.272435,7,8546
2025-03-31 14:45:39.373057,7,8546
2025-03-31 14:45:39.473873,7,8546
2025-03-31 14:45:39.482687,7,8546
2025-03-31 14:45:39.575276,7,8546
2025-03-31 14:45:39.676009,7,8546
2025-03-31 14:45:39.776937,7,8546
2025-03-31 14:45:39.877611,7,8546
2025-03-31 14:45:39.978313,7,8546
2025-03-31 14:45:40.079073,7,8546
2025-03-31 14:45:40.166969,47,8546
2025-03-31 14:45:40.167355,7,8546
2025-03-31 14:45:40.172936,46,8546
2025-03-31 14:45:40.177998,46,8546
2025-03-31 14:45:40.178072,7,8546
2025-03-31 14:45:40.178096,47,8546
2025-03-31 14:45:40.178148,46,8546
2025-03-31 14:45:40.178174,7,8546
2025-03-31 14:45:40.178200,7,8546
2025-03-31 14:45:40.178272,7,8546
2025-03-31 14:45:40.191060,46,8546
2025-03-31 14:45:40.191125,7,8546
2025-03-31 14:45:40.191146,47,8546
2025-03-31 14:45:40.191197,46,8546
2025-03-31 14:45:40.191218,7,8546
2025-03-31 14:45:40.191251,7,8546
2025-03-31 14:45:40.191307,7,8546
2025-03-31 14:45:40.191647,47,8546
2025-03-31 14:45:40.191800,7,8546
2025-03-31 14:45:40.194207,47,8546
2025-03-31 14:45:40.194417,46,8546
2025-03-31 14:45:40.194492,7,8546
2025-03-31 14:45:40.199840,47,8546
2025-03-31 14:45:40.200051,7,8546
2025-03-31 14:45:40.200252,7,8546
2025-03-31 14:45:40.216272,7,8546
2025-03-31 14:45:40.229325,46,8546
2025-03-31 14:45:40.229462,7,8546
2025-03-31 14:45:40.229486,47,8546
2025-03-31 14:45:40.229563,46,8546
2025-03-31 14:45:40.229584,7,8546
2025-03-31 14:45:40.229680,7,8546
2025-03-31 14:45:40.229925,47,8546
2025-03-31 14:45:40.230039,7,8546
2025-03-31 14:45:40.231420,47,8546
2025-03-31 14:45:40.231570,7,8546
2025-03-31 14:45:40.231653,7,8546
2025-03-31 14:45:40.243066,7,8546
2025-03-31 14:45:40.254113,46,8546
2025-03-31 14:45:40.254173,7,8546
2025-03-31 14:45:40.254192,47,8546
2025-03-31 14:45:40.254241,46,8546
2025-03-31 14:45:40.254262,7,8546
2025-03-31 14:45:40.254309,7,8546
2025-03-31 14:45:40.254513,47,8546
2025-03-31 14:45:40.254533,7,8546
2025-03-31 14:45:40.256751,47,8546
2025-03-31 14:45:40.256852,46,8546
2025-03-31 14:45:40.256879,7,8546
2025-03-31 14:45:40.264373,47,8546
2025-03-31 14:45:40.264765,46,8546
2025-03-31 14:45:40.264890,7,8546
2025-03-31 14:45:40.269435,47,8546
2025-03-31 14:45:40.269622,7,8546
2025-03-31 14:45:40.269740,7,8546
2025-03-31 14:45:40.282416,7,8546
2025-03-31 14:45:40.293073,46,8546
2025-03-31 14:45:40.293136,7,8546
2025-03-31 14:45:40.293156,47,8546
2025-03-31 14:45:40.293231,46,8546
2025-03-31 14:45:40.293250,7,8546
2025-03-31 14:45:40.293276,7,8546
2025-03-31 14:45:40.293322,7,8546
2025-03-31 14:45:40.293578,47,8546
2025-03-31 14:45:40.293675,7,8546
2025-03-31 14:45:40.294519,47,8546
2025-03-31 14:45:40.294618,7,8546
2025-03-31 14:45:40.294680,7,8546
2025-03-31 14:45:40.302882,7,8546
2025-03-31 14:45:40.312890,46,8546
2025-03-31 14:45:40.312949,7,8546
2025-03-31 14:45:40.312966,47,8546
2025-03-31 14:45:40.313012,46,8546
2025-03-31 14:45:40.313030,7,8546
2025-03-31 14:45:40.313073,7,8546
2025-03-31 14:45:40.313342,47,8546
2025-03-31 14:45:40.313420,7,8546
2025-03-31 14:45:40.319067,47,8546
2025-03-31 14:45:40.319309,7,8546
2025-03-31 14:45:40.319354,7,8546
2025-03-31 14:45:40.329434,7,8546
2025-03-31 14:45:40.339265,46,8546
2025-03-31 14:45:40.339314,7,8546
2025-03-31 14:45:40.339330,47,8546
2025-03-31 14:45:40.339373,46,8546
2025-03-31 14:45:40.339389,7,8546
2025-03-31 14:45:40.339436,7,8546
2025-03-31 14:45:40.339651,47,8546
2025-03-31 14:45:40.339670,7,8546
2025-03-31 14:45:40.340034,47,8546
2025-03-31 14:45:40.340114,46,8546
2025-03-31 14:45:40.340135,7,8546
2025-03-31 14:45:40.347596,47,8546
2025-03-31 14:45:40.347959,46,8546
2025-03-31 14:45:40.348003,7,8546
2025-03-31 14:45:40.352330,47,8546
2025-03-31 14:45:40.352528,7,8546
2025-03-31 14:45:40.352586,7,8546
2025-03-31 14:45:40.363914,7,8546
2025-03-31 14:45:40.375233,46,8546
2025-03-31 14:45:40.375288,7,8546
2025-03-31 14:45:40.375306,47,8546
2025-03-31 14:45:40.375358,46,8546
2025-03-31 14:45:40.375377,7,8546
2025-03-31 14:45:40.375434,7,8546
2025-03-31 14:45:40.375842,47,8546
2025-03-31 14:45:40.375928,7,8546
2025-03-31 14:45:40.376545,47,8546
2025-03-31 14:45:40.376649,7,8546
2025-03-31 14:45:40.376685,7,8546
2025-03-31 14:45:40.384815,7,8546
2025-03-31 14:45:40.394936,46,8546
2025-03-31 14:45:40.394987,7,8546
2025-03-31 14:45:40.395004,47,8546
2025-03-31 14:45:40.395086,46,8546
2025-03-31 14:45:40.395105,7,8546
2025-03-31 14:45:40.395128,7,8546
2025-03-31 14:45:40.395159,7,8546
2025-03-31 14:45:40.395410,47,8546
2025-03-31 14:45:40.395485,7,8546
2025-03-31 14:45:40.395663,47,8546
2025-03-31 14:45:40.395756,46,8546
2025-03-31 14:45:40.395784,7,8546
2025-03-31 14:45:40.402418,47,8546
2025-03-31 14:45:40.402718,7,8546
2025-03-31 14:45:40.402776,7,8546
2025-03-31 14:45:40.413364,7,8546
2025-03-31 14:45:40.424693,46,8546
2025-03-31 14:45:40.424751,7,8546
2025-03-31 14:45:40.424770,47,8546
2025-03-31 14:45:40.424869,46,8546
2025-03-31 14:45:40.424888,7,8546
