TIMESTAMP,SYSCALL_NUMBER,PID
2025-04-12 19:29:48.688096,257,4160
2025-04-12 19:29:48.688157,3,4160
2025-04-12 19:29:48.688177,257,4160
2025-04-12 19:29:48.688197,5,4160
2025-04-12 19:29:48.688209,9,4160
2025-04-12 19:29:48.688230,3,4160
2025-04-12 19:29:48.688282,257,4160
2025-04-12 19:29:48.688303,5,4160
2025-04-12 19:29:48.688316,9,4160
2025-04-12 19:29:48.688331,3,4160
2025-04-12 19:29:48.688343,202,4160
2025-04-12 19:29:48.688357,102,4160
2025-04-12 19:29:48.688368,104,4160
2025-04-12 19:29:48.688377,107,4160
2025-04-12 19:29:48.688387,108,4160
2025-04-12 19:29:48.688398,14,4160
2025-04-12 19:29:48.688428,13,4160
2025-04-12 19:29:48.688440,13,4160
2025-04-12 19:29:48.688449,13,4160
2025-04-12 19:29:48.688459,13,4160
2025-04-12 19:29:48.688468,13,4160
2025-04-12 19:29:48.688478,13,4160
2025-04-12 19:29:48.688487,13,4160
2025-04-12 19:29:48.688497,13,4160
2025-04-12 19:29:48.688508,13,4160
2025-04-12 19:29:48.688518,13,4160
2025-04-12 19:29:48.688528,13,4160
2025-04-12 19:29:48.688538,13,4160
2025-04-12 19:29:48.688548,13,4160
2025-04-12 19:29:48.688558,13,4160
2025-04-12 19:29:48.688567,13,4160
2025-04-12 19:29:48.688577,13,4160
2025-04-12 19:29:48.688587,13,4160
2025-04-12 19:29:48.688596,13,4160
2025-04-12 19:29:48.688605,13,4160
2025-04-12 19:29:48.688615,13,4160
2025-04-12 19:29:48.688624,13,4160
2025-04-12 19:29:48.688634,13,4160
2025-04-12 19:29:48.688643,13,4160
2025-04-12 19:29:48.688652,13,4160
2025-04-12 19:29:48.688663,13,4160
2025-04-12 19:29:48.688673,14,4160
2025-04-12 19:29:48.688683,13,4160
2025-04-12 19:29:48.688695,13,4160
2025-04-12 19:29:48.688705,13,4160
2025-04-12 19:29:48.688715,13,4160
2025-04-12 19:29:48.688725,13,4160
2025-04-12 19:29:48.688735,13,4160
2025-04-12 19:29:48.688745,13,4160
2025-04-12 19:29:48.688755,13,4160
2025-04-12 19:29:48.688765,63,4160
2025-04-12 19:29:48.688779,41,4160
2025-04-12 19:29:48.688802,42,4160
2025-04-12 19:29:48.688824,3,4160
2025-04-12 19:29:48.688839,41,4160
2025-04-12 19:29:48.688851,42,4160
2025-04-12 19:29:48.688864,3,4160
2025-04-12 19:29:48.688876,262,4160
2025-04-12 19:29:48.688892,262,4160
2025-04-12 19:29:48.688866,47,3982
2025-04-12 19:29:48.688905,257,4160
2025-04-12 19:29:48.688921,5,4160
2025-04-12 19:29:48.688935,0,4160
2025-04-12 19:29:48.688959,0,4160
2025-04-12 19:29:48.688974,5,4160
2025-04-12 19:29:48.688986,3,4160
2025-04-12 19:29:48.688978,46,3982
2025-04-12 19:29:48.689000,257,4160
2025-04-12 19:29:48.689015,5,4160
2025-04-12 19:29:48.689028,8,4160
2025-04-12 19:29:48.689023,7,3982
2025-04-12 19:29:48.689040,0,4160
2025-04-12 19:29:48.689061,3,4160
2025-04-12 19:29:48.689067,7,3982
2025-04-12 19:29:48.689118,262,4160
2025-04-12 19:29:48.689131,262,4160
2025-04-12 19:29:48.689147,262,4160
2025-04-12 19:29:48.689164,39,4160
2025-04-12 19:29:48.689180,110,4160
2025-04-12 19:29:48.689194,262,4160
2025-04-12 19:29:48.689206,262,4160
2025-04-12 19:29:48.689219,262,4160
2025-04-12 19:29:48.689231,262,4160
2025-04-12 19:29:48.689242,262,4160
2025-04-12 19:29:48.689255,262,4160
2025-04-12 19:29:48.689272,107,4160
2025-04-12 19:29:48.689282,108,4160
2025-04-12 19:29:48.689291,102,4160
2025-04-12 19:29:48.689301,104,4160
2025-04-12 19:29:48.689311,21,4160
2025-04-12 19:29:48.689322,262,4160
2025-04-12 19:29:48.689333,107,4160
2025-04-12 19:29:48.689343,108,4160
2025-04-12 19:29:48.689354,102,4160
2025-04-12 19:29:48.689367,104,4160
2025-04-12 19:29:48.689380,21,4160
2025-04-12 19:29:48.689399,39,4160
2025-04-12 19:29:48.689409,110,4160
2025-04-12 19:29:48.689420,39,4160
2025-04-12 19:29:48.689431,110,4160
2025-04-12 19:29:48.689460,111,4160
2025-04-12 19:29:48.689472,16,4160
2025-04-12 19:29:48.689484,257,4160
2025-04-12 19:29:48.689498,302,4160
2025-04-12 19:29:48.689508,72,4160
2025-04-12 19:29:48.689519,33,4160
2025-04-12 19:29:48.689531,3,4160
2025-04-12 19:29:48.689543,16,4160
2025-04-12 19:29:48.689521,7,3982
2025-04-12 19:29:48.689555,39,4160
2025-04-12 19:29:48.689569,109,4160
2025-04-12 19:29:48.689581,14,4160
2025-04-12 19:29:48.689591,16,4160
2025-04-12 19:29:48.689588,7,3982
2025-04-12 19:29:48.689603,14,4160
2025-04-12 19:29:48.689616,16,4160
2025-04-12 19:29:48.689633,72,4160
2025-04-12 19:29:48.689643,13,4160
2025-04-12 19:29:48.689652,16,4160
2025-04-12 19:29:48.689664,16,4160
2025-04-12 19:29:48.689680,16,4160
2025-04-12 19:29:48.689701,262,4160
2025-04-12 19:29:48.689713,262,4160
2025-04-12 19:29:48.689725,262,4160
2025-04-12 19:29:48.689736,262,4160
2025-04-12 19:29:48.689784,21,4160
2025-04-12 19:29:48.689798,21,4160
2025-04-12 19:29:48.689810,102,4160
2025-04-12 19:29:48.689820,122,4160
2025-04-12 19:29:48.689832,104,4160
2025-04-12 19:29:48.689842,123,4160
2025-04-12 19:29:48.689852,257,4160
2025-04-12 19:29:48.689864,107,4160
