TIMESTAMP,SYSCALL_NUMBER,PID
2025-04-12 18:45:46.677131,72,4155
2025-04-12 18:45:46.677188,72,4155
2025-04-12 18:45:46.677201,72,4155
2025-04-12 18:45:46.677219,257,4155
2025-04-12 18:45:46.677235,5,4155
2025-04-12 18:45:46.677247,9,4155
2025-04-12 18:45:46.677266,3,4155
2025-04-12 18:45:46.677309,89,4155
2025-04-12 18:45:46.677338,21,4155
2025-04-12 18:45:46.677357,21,4155
2025-04-12 18:45:46.677369,257,4155
2025-04-12 18:45:46.677386,257,4155
2025-04-12 18:45:46.677425,5,4155
2025-04-12 18:45:46.677438,1,4155
2025-04-12 18:45:46.677466,231,4155
2025-04-12 18:45:46.677568,3,4029
2025-04-12 18:45:46.677772,17,4029
2025-04-12 18:45:46.677805,17,4029
2025-04-12 18:45:46.677873,17,4029
2025-04-12 18:45:46.677890,17,4029
2025-04-12 18:45:46.677904,17,4029
2025-04-12 18:45:46.677921,17,4029
2025-04-12 18:45:46.677935,17,4029
2025-04-12 18:45:46.677949,17,4029
2025-04-12 18:45:46.677962,17,4029
2025-04-12 18:45:46.677983,17,4029
2025-04-12 18:45:46.678867,202,4029
2025-04-12 18:45:46.679010,332,4029
2025-04-12 18:45:46.679125,1,4029
2025-04-12 18:45:46.679208,202,4029
2025-04-12 18:45:46.679749,1,4029
2025-04-12 18:45:46.681400,262,4029
2025-04-12 18:45:46.681444,262,4029
2025-04-12 18:45:46.681458,262,4029
2025-04-12 18:45:46.681469,262,4029
2025-04-12 18:45:46.681480,262,4029
2025-04-12 18:45:46.681491,262,4029
2025-04-12 18:45:46.681505,262,4029
2025-04-12 18:45:46.681519,262,4029
2025-04-12 18:45:46.681530,262,4029
2025-04-12 18:45:46.681540,262,4029
2025-04-12 18:45:46.681551,262,4029
2025-04-12 18:45:46.681561,262,4029
2025-04-12 18:45:46.681572,262,4029
2025-04-12 18:45:46.681582,262,4029
2025-04-12 18:45:46.681592,262,4029
2025-04-12 18:45:46.681602,262,4029
2025-04-12 18:45:46.681613,262,4029
2025-04-12 18:45:46.681623,262,4029
2025-04-12 18:45:46.681635,262,4029
2025-04-12 18:45:46.681646,262,4029
2025-04-12 18:45:46.681657,262,4029
2025-04-12 18:45:46.681667,262,4029
2025-04-12 18:45:46.681678,262,4029
2025-04-12 18:45:46.681688,262,4029
2025-04-12 18:45:46.681699,262,4029
2025-04-12 18:45:46.681710,262,4029
2025-04-12 18:45:46.681720,262,4029
2025-04-12 18:45:46.681730,262,4029
2025-04-12 18:45:46.681741,262,4029
2025-04-12 18:45:46.681751,262,4029
2025-04-12 18:45:46.681763,262,4029
2025-04-12 18:45:46.681774,262,4029
2025-04-12 18:45:46.681784,262,4029
2025-04-12 18:45:46.681795,262,4029
2025-04-12 18:45:46.681805,262,4029
2025-04-12 18:45:46.681815,262,4029
2025-04-12 18:45:46.681826,262,4029
2025-04-12 18:45:46.681837,262,4029
2025-04-12 18:45:46.681847,262,4029
2025-04-12 18:45:46.681858,262,4029
2025-04-12 18:45:46.681868,262,4029
2025-04-12 18:45:46.681878,262,4029
2025-04-12 18:45:46.681891,262,4029
2025-04-12 18:45:46.681901,262,4029
2025-04-12 18:45:46.681912,262,4029
2025-04-12 18:45:46.681923,262,4029
2025-04-12 18:45:46.681933,262,4029
2025-04-12 18:45:46.681944,262,4029
2025-04-12 18:45:46.681954,262,4029
2025-04-12 18:45:46.681965,262,4029
2025-04-12 18:45:46.681975,262,4029
2025-04-12 18:45:46.681986,262,4029
2025-04-12 18:45:46.681996,262,4029
2025-04-12 18:45:46.682007,262,4029
2025-04-12 18:45:46.682018,262,4029
2025-04-12 18:45:46.682029,262,4029
2025-04-12 18:45:46.682039,262,4029
2025-04-12 18:45:46.682049,262,4029
2025-04-12 18:45:46.682060,262,4029
2025-04-12 18:45:46.682070,262,4029
2025-04-12 18:45:46.682081,262,4029
2025-04-12 18:45:46.682092,262,4029
2025-04-12 18:45:46.682102,262,4029
2025-04-12 18:45:46.682112,262,4029
2025-04-12 18:45:46.682122,262,4029
2025-04-12 18:45:46.682133,262,4029
2025-04-12 18:45:46.682149,262,4029
2025-04-12 18:45:46.682165,262,4029
2025-04-12 18:45:46.682175,262,4029
2025-04-12 18:45:46.682186,262,4029
2025-04-12 18:45:46.682197,262,4029
2025-04-12 18:45:46.682209,262,4029
