TIMESTAMP,SYSCALL_NUMBER,PID
2025-04-12 20:35:39.959531,72,4292
2025-04-12 20:35:39.959579,72,4292
2025-04-12 20:35:39.959591,72,4292
2025-04-12 20:35:39.959610,257,4292
2025-04-12 20:35:39.959626,5,4292
2025-04-12 20:35:39.959638,9,4292
2025-04-12 20:35:39.959656,3,4292
2025-04-12 20:35:39.959700,89,4292
2025-04-12 20:35:39.959728,21,4292
2025-04-12 20:35:39.959792,21,4292
2025-04-12 20:35:39.959804,257,4292
2025-04-12 20:35:39.959819,257,4292
2025-04-12 20:35:39.959858,5,4292
2025-04-12 20:35:39.959872,1,4292
2025-04-12 20:35:39.959901,231,4292
2025-04-12 20:35:39.959945,3,4179
2025-04-12 20:35:39.960165,17,4179
2025-04-12 20:35:39.960199,17,4179
2025-04-12 20:35:39.960274,17,4179
2025-04-12 20:35:39.960292,17,4179
2025-04-12 20:35:39.960309,17,4179
2025-04-12 20:35:39.960325,17,4179
2025-04-12 20:35:39.960341,17,4179
2025-04-12 20:35:39.960358,17,4179
2025-04-12 20:35:39.960372,17,4179
2025-04-12 20:35:39.960390,17,4179
2025-04-12 20:35:39.960407,17,4179
2025-04-12 20:35:39.961272,202,4179
2025-04-12 20:35:39.961417,332,4179
2025-04-12 20:35:39.961528,1,4179
2025-04-12 20:35:39.961560,202,4179
2025-04-12 20:35:39.962144,1,4179
2025-04-12 20:35:39.964599,290,4179
2025-04-12 20:35:39.964712,1,4179
2025-04-12 20:35:39.964737,7,4179
2025-04-12 20:35:39.964810,0,4179
2025-04-12 20:35:39.964911,46,4179
2025-04-12 20:35:39.964963,7,4179
2025-04-12 20:35:39.965006,7,4179
2025-04-12 20:35:39.965223,1,4179
2025-04-12 20:35:39.965272,47,4179
2025-04-12 20:35:39.965313,7,4179
2025-04-12 20:35:39.965337,47,4179
2025-04-12 20:35:39.965368,1,4179
2025-04-12 20:35:39.965398,1,4179
2025-04-12 20:35:39.965431,7,4179
2025-04-12 20:35:39.965454,0,4179
2025-04-12 20:35:39.965562,1,4179
2025-04-12 20:35:39.965598,7,4179
2025-04-12 20:35:39.965628,1,4179
2025-04-12 20:35:39.965657,7,4179
2025-04-12 20:35:39.965681,0,4179
2025-04-12 20:35:39.965698,0,4179
2025-04-12 20:35:39.965704,7,4179
2025-04-12 20:35:39.965803,1,4179
2025-04-12 20:35:39.965833,7,4179
2025-04-12 20:35:39.965867,0,4179
2025-04-12 20:35:39.965921,46,4179
2025-04-12 20:35:39.965960,7,4179
2025-04-12 20:35:39.966000,7,4179
2025-04-12 20:35:39.966140,1,4179
2025-04-12 20:35:39.966191,47,4179
2025-04-12 20:35:39.966225,7,4179
2025-04-12 20:35:39.966249,47,4179
2025-04-12 20:35:39.966281,1,4179
2025-04-12 20:35:39.966310,1,4179
2025-04-12 20:35:39.966338,7,4179
2025-04-12 20:35:39.966362,0,4179
2025-04-12 20:35:39.966425,1,4179
2025-04-12 20:35:39.966459,7,4179
2025-04-12 20:35:39.966503,1,4179
2025-04-12 20:35:39.966534,7,4179
2025-04-12 20:35:39.966558,0,4179
2025-04-12 20:35:39.966568,0,4179
2025-04-12 20:35:39.966582,7,4179
2025-04-12 20:35:39.966667,1,4179
2025-04-12 20:35:39.966696,7,4179
