TIMESTAMP,SYSCALL_NUMBER,PID
2025-03-18 19:37:28.360292,72,5197
2025-03-18 19:37:28.360324,72,5197
2025-03-18 19:37:28.360331,72,5197
2025-03-18 19:37:28.360342,257,5197
2025-03-18 19:37:28.360351,5,5197
2025-03-18 19:37:28.360358,9,5197
2025-03-18 19:37:28.360373,3,5197
2025-03-18 19:37:28.360401,89,5197
2025-03-18 19:37:28.360419,21,5197
2025-03-18 19:37:28.360431,21,5197
2025-03-18 19:37:28.360438,257,5197
2025-03-18 19:37:28.360448,257,5197
2025-03-18 19:37:28.360473,5,5197
2025-03-18 19:37:28.360480,1,5197
2025-03-18 19:37:28.360499,231,5197
2025-03-18 19:37:28.360539,3,5133
2025-03-18 19:37:28.360733,17,5133
2025-03-18 19:37:28.360777,17,5133
2025-03-18 19:37:28.360818,17,5133
2025-03-18 19:37:28.360846,17,5133
2025-03-18 19:37:28.361585,257,5133
2025-03-18 19:37:28.361610,0,5133
2025-03-18 19:37:28.361618,3,5133
2025-03-18 19:37:28.361641,257,5133
2025-03-18 19:37:28.361682,5,5133
2025-03-18 19:37:28.361767,12,5133
2025-03-18 19:37:28.361954,17,5133
2025-03-18 19:37:28.361962,17,5133
2025-03-18 19:37:28.362046,12,5133
2025-03-18 19:37:28.362094,12,5133
2025-03-18 19:37:28.362115,14,5133
2025-03-18 19:37:28.362122,435,5133
2025-03-18 19:37:28.362144,14,5133
2025-03-18 19:37:28.362150,202,5133
2025-03-18 19:37:28.362300,334,5133
2025-03-18 19:37:28.362355,273,5133
2025-03-18 19:37:28.362371,14,5133
2025-03-18 19:37:28.362389,186,5133
2025-03-18 19:37:28.362401,202,5133
2025-03-18 19:37:28.362414,202,5133
2025-03-18 19:37:28.362460,202,5133
2025-03-18 19:37:28.362485,202,5133
2025-03-18 19:37:28.362500,202,5133
2025-03-18 19:37:28.362555,202,5133
2025-03-18 19:37:28.362589,157,5133
2025-03-18 19:37:28.362630,17,5133
2025-03-18 19:37:28.362720,202,5133
2025-03-18 19:37:28.362737,202,5133
2025-03-18 19:37:28.362746,257,5133
2025-03-18 19:37:28.362755,0,5133
2025-03-18 19:37:28.362761,3,5133
2025-03-18 19:37:28.362780,257,5133
2025-03-18 19:37:28.362801,5,5133
2025-03-18 19:37:28.362879,18,5133
2025-03-18 19:37:28.362902,18,5133
2025-03-18 19:37:28.362917,18,5133
2025-03-18 19:37:28.362934,18,5133
2025-03-18 19:37:28.362948,18,5133
2025-03-18 19:37:28.362961,202,5133
2025-03-18 19:37:28.363016,202,5133
2025-03-18 19:37:28.363033,202,5133
2025-03-18 19:37:28.363040,18,5133
2025-03-18 19:37:28.363052,14,5133
2025-03-18 19:37:28.363053,18,5133
2025-03-18 19:37:28.363068,28,5133
2025-03-18 19:37:28.363086,60,5133
